source_row_number,legajo_canonico,row_kind,raw_ubicacion,ncp,ncp_formatted,sec,gru,nmanz,nparc,lon,lat,geolocation_source,location_verification_status,zonificacion,fecha_de_visado,tipo,destino_uso,relevamiento_o_existente,a_contruir_obra_nueva,ampliacion_de_obra_existente,proyectado_no_iniciado,m_existentes_relevados_vivienda,m_existentes_relevados_local,m_a_construir_vivienda,m_a_construir_local
150,140,detail,San Martín Nº,0100010123250000--005--,0100010123250000--005--,12,325,0,5,-58.15888500,-32.23545080,automatic,missing_address_point,Urbana,2025-09-30,Galpón / Depósito / Concesionario vehículos,galpón / depósito / concesionario vehículos,,1,,,,,,"1725,02"
151,141,detail,Bolívar Nº 388 (antes 390),0100010000000128--019--,0100010000000128--019--,0,0,128,19,-58.14152505,-32.22140570,automatic,verified_close,Centro,2025-09-30,Oficinas administrativas,oficinas administrativas,,1,,,,,,"167,36"
152,142,detail,"Primera Junta Nº 296, 298",0100010000000044--013--,0100010000000044--013--,0,0,44,13,-58.14852210,-32.22148695,automatic,verified_close,Urbana,2025-09-30,Vivienda unifamiliar / Local comercial,vivienda,,1,,,,,,"81,685"
153,143,detail,Ruta Provincial Nº 26,0100010063540000--083--,0100010063540000--083--,6,354,0,83,-58.15695755,-32.21090735,automatic,missing_address_point,Suburbana,2025-09-30,Local Comercial,comercial,1,,,,,75,,
155,145,detail,"Moreno Nº 468, 470, 474, 478 (antes 472)",,,,,,,,,automatic,missing_cadastral_point,Centro,2025-10-02,Vivienda multifamiliar,vivienda,,4,,,,,"259,92",
156,146,detail,E. J. Vauthay Nº esq Isabel Ortega Nº,0100010063540001--002--,0100010063540001--002--,6,354,1,2,-58.15978455,-32.21306585,automatic,missing_address_point,Periurbana,2025-10-06,Vivienda multifamiliar,vivienda,5,,,,"63,3",,,
157,147,detail,Angel Elías Nº esq El Mojón,0100010151110016--006--,0100010151110016--006--,15,111,16,6,-58.20466095,-32.27093235,automatic,missing_address_point,Periurbana,2025-10-06,Vivienda unifamiliar,vivienda,1,,,,"89,8",,,
158,148,detail,Avda. Paysandú Nº esq Maipú Nº 449,0100010000000710--012--,0100010000000710--012--,0,0,710,12,-58.14785337,-32.21696371,admin_override,verified_close,Urbana,2025-10-07,Hotel,turistico,1,,,,,"1058,59",,
159,149,detail,Juan Carlos Pozzi s/Nº,0100010151110001--004--,0100010151110001--004--,15,111,1,4,-58.20973985,-32.26848885,automatic,missing_address_point,Periurbana,2025-10-08,Vivienda unifamiliar,vivienda,1,,,,"136,835",,,
160,150,detail,Juan Carlos Pozzi s/Nº,0100010151110001--003--,0100010151110001--003--,15,111,1,3,-58.20988715,-32.26814825,automatic,missing_address_point,Urbana,2025-10-08,Vivienda unifamiliar,vivienda,1,,,,"172,3",,,
161,151,detail,Rufino Mir Nº,0100011020400392--011--,0100011020400392--011--,102,40,392,11,-58.14615820,-32.23580720,automatic,missing_address_point,Urbana,2025-10-13,Vivienda unifamiliar / Local comercial,vivienda,2,,,,"80,49","63,67",,
162,152,detail,Lopez Jordan s/Nº,0100010123240000--017--,0100010123240000--017--,12,324,0,17,-58.15587025,-32.24198715,automatic,missing_address_point,Periurbana,2025-10-16,Vivienda nunifamiliar,vivienda,2,,,,"152,985",,,
163,153,detail,Pte. Illía N° 318,0100010000000486--015--,0100010000000486--015--,0,0,486,15,-58.15384170,-32.22453150,automatic,verified_close,Urbana,2025-10-17,Vivienda unifamiliar,vivienda,1,,,,"101,66",,,
164,154,detail,Gouchón Nª 279,0100010000000154--006--,0100010000000154--006--,0,0,154,6,-58.14081005,-32.21902720,automatic,verified_close,Urbana,2025-10-17,Vivienda multifamiliar,vivienda,,,1,,8,,,
165,154,detail_continuation,,0100010000000154--016--,0100010000000154--016--,0,0,154,16,-58.14097640,-32.21883720,automatic,missing_address_point,,,,sin destino,,,,,"89,1",,,
166,155,detail,Maipú Nº 43,0100010000000144--020--,0100010000000144--020--,0,0,144,20,-58.14006935,-32.22160665,automatic,verified_close,Centro,2025-10-17,Vivienda unifamiliar / Local comercial,vivienda,3,,,,"189,86","47,62",,
167,156,detail,Bvard Ferrari Nº 443 esq Calle Artigas,0100010000000109--009--,0100010000000109--009--,0,0,109,9,-58.13676020,-32.22787625,automatic,verified_close,Urbana,2025-10-20,Vivienda multifamiliar + Local comercial,vivienda,3,,,,"172,31","36,085",,
168,157,detail,Florentina Gómez Miranda Nº 253 esq Tucumán,0100011020270312--006--,0100011020270312--006--,102,27,312,6,-58.15071330,-32.23577090,admin_override,missing_address_point,Urbana,2025-10-20,Galpón / Depósito,galpón / depósito,1,,,,,"278,33",,
169,158,detail,Calle Privada s/N° - Los Bretes,0100010170030002--002--,0100010170030002--002--,17,3,2,2,-58.13483185,-32.24398945,automatic,missing_address_point,Urbana,2025-10-21,Vivienda unifamiliar / Piscina,vivienda,,1,1,,,,,
170,159,detail,Díaz  Velez Nº,0100010113100003--046--,0100010113100003--046--,11,310,3,46,-58.16579620,-32.23140630,automatic,missing_address_point,Periurbana,2025-10-21,Vivienda unifamiliar,vivienda,1,,,,"144,5",,,
171,160,detail,12 de Abril Nº 970,0100010000000453--004--,0100010000000453--004--,0,0,453,4,-58.14966060,-32.22969645,automatic,verified_close,Urbana,2025-10-21,Local comercial,comercial,1,,,,,"203,6",,
172,161,detail,Vieytes s/Nº,0100010000000576--006--,0100010000000576--006--,0,0,576,6,-58.13927935,-32.23094520,automatic,missing_address_point,Urbana,2025-10-24,Vivienda unifamiliar,vivienda,,1,,,,,"139,63",
173,162,detail,San Marín esq Celia Pellenc Nº 30,0100010000000480--001--,0100010000000480--001--,0,0,480,1,-58.13490175,-32.21767734,admin_override,missing_address_point,Urbana,2025-10-24,Local Comercial,comercial,,1,,,,"30,24",,
174,163,detail,Artigas Nº 553,0100011021110644--001--,0100011021110644--001--,102,111,644,1,-58.13390620,-32.23134280,automatic,verified_close,Urbana,2025-10-27,Vivienda unifamiliar / Local comercial,vivienda,,,1,,"93,815",,,"43,16"
175,164,detail,Avda. Urquiza Nº,0100010000000370--007--,0100010000000370--007--,0,0,370,7,-58.15159950,-32.23200625,automatic,missing_address_point,Urbana,2025-10-28,Vivienda multifamiliar,vivienda,2,,,,"114,865",,,
176,165,detail,Alberdi s/Nº e/ Aguaribay y Salsipuedes,0100010123270005--006--,0100010123270005--006--,12,327,5,6,-58.16344095,-32.23115955,automatic,missing_address_point,Urbana,2025-10-28,Vivienda unifamiliar,vivienda,,1,,,,,"168,835",
177,166,detail,Castelli Nº 636,0100010000000228--026--,0100010000000228--026--,0,0,228,26,-58.13626333,-32.23507258,admin_override,verified_close,Urbana,2025-10-28,Vivienda nunifamiliar,vivienda,,,1,,,,"58,7",
